date,amount,description,account,spender,vendor,category,llm_vendor,llm_category
2025-03-08,11.67,"Unisex Cotton Crew Socks, 5-Pack",amzn,Jill,Amazon,Clothing & Accessories,,1.0
2025-03-12,21.43,"Gentleman's Daily Multivitamin Tablets for Men, 90 Count",amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-12,10.08,Tummy Time Water Mat丨Inflatable Tummy Time Water Play Mat for Babies,amzn,Jill,Amazon,Baby & Child,,1.0
2025-03-12,10.27,Soft Cotton Non-Slip Headbands for Women (2-Pack),amzn,Jill,Amazon,Clothing & Accessories,,1.0
2025-03-12,4.81,"Universal Car Air Freshener Vent Clip, Long-Lasting Scent, 2-Pack",amzn,Jill,Amazon,Automotive,,1.0
2025-03-12,36.82,"Tropicana 100% Juice 3-flavor Classic Variety Pack,10 Fl Oz (Pack of 24)",amzn,Jill,Amazon,Groceries,,1.0
2025-03-12,9.64,"Unisex Cotton Crew Socks, 3-Pack",amzn,Jill,Amazon,Clothing & Accessories,,1.0
2025-03-12,32.67,BlossomEase Seasonal Garden Pruner Kit for Women – Ergonomic Floral Trimming Tool Set with Comfort Grip,amzn,Jill,Amazon,Home,,1.0
2025-03-12,21.95,Stainless Steel Reusable Coffee Filter for Drip Coffee Makers,amzn,Jill,Amazon,Home,,1.0
2025-03-13,47.44,The Ultimate Family Meal Planner: Biweekly Recipes & Grocery Lists for Busy Lives,amzn,Jill,Amazon,Books,,1.0
2025-03-13,17.51,The Daily Journal: Guided Reflections for Personal Growth and Goal Setting,amzn,Jill,Amazon,Books,,1.0
2025-03-13,14.45,"JUNTECH USB-C to USB-A Fast Charging Cable (6ft, 2-Pack)",amzn,Jill,Amazon,Electronics & Accessories,,1.0
2025-03-13,72.24,SereneMom Premium Double Electric Breast Pump Kit with Adjustable Suction & BPA-Free Bottles,amzn,Jill,Amazon,Baby & Child,,1.0
2025-03-16,3.62,"Blue River Smoky BBQ Sauce, 16 oz",amzn,Jill,Amazon,Groceries,,1.0
2025-03-16,37.78,Adjustable Resistance Hip Bands Set for Glute Workouts,amzn,Jill,Amazon,Gym & Fitness,,1.0
2025-03-16,13.12,Garden Decor Outdoor Lights 120LED 2Pack,amzn,Jill,Amazon,Home,,1.0
2025-03-16,28.36,"O-Cedar EasyWring Microfiber Spin Mop, Bucket Floor Cleaning System, Red, Gray, Standard",amzn,Jill,Amazon,Home,,1.0
2025-03-16,17.17,Executive Black Leather Desk Pad Organizer - 17 x 12 Inch Writing Mat for Office and Home,amzn,Jill,Amazon,Office Supplies,,1.0
2025-03-16,49.24,CozyNest Portable Baby Play Mat & Tummy Time Activity Gym,amzn,Jill,Amazon,Baby & Child,,1.0
2025-03-16,133.33,"PureBrew Electric Programmable Coffee Maker with Thermal Carafe, 12-Cup Capacity",amzn,Jill,Amazon,Home,,1.0
2025-03-16,21.08,Hickory Smokehouse Beef Jerky Mega Pack – 20oz Resealable Protein Snack for Men,amzn,Jill,Amazon,Groceries,,1.0
2025-03-16,39.05,"Variety Pack (4PK) (4, Original, Blueberry, Mango, Coconut), non-GMO Granola & Organic Quinoa Crisps",amzn,Jill,Amazon,Groceries,,1.0
2025-03-16,21.03,"Aloe Vera Moisturizing Hand & Body Lotion, 16 oz Pump Bottle",amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-16,32.20,"EXACTMARK 12-Pack Professional Ballpoint Pens, Smooth Writing, Retractable, Black Ink, Office Supplies",amzn,Jill,Amazon,Office Supplies,,1.0
2025-03-16,21.87,"UltraClean Microfiber Car Wash Towel 6-Pack – Reusable, Lint-Free, Super Absorbent Cleaning Cloths for Auto Detailing, Polishing, and Interior Care",amzn,Jill,Amazon,Automotive,,1.0
2025-03-16,65.86,ProGuard Deluxe Car Jump Starter and Portable Power Bank,amzn,Jill,Amazon,Automotive,,1.0
2025-03-18,36.72,ProClean Premium Microfiber Car Wash Mitts (4-Pack) for Auto Detailing and Scratch-Free Cleaning,amzn,Jill,Amazon,Automotive,,1.0
2025-03-18,12.57,BlossomDrive Lavender Scented Car Air Freshener Clip (12-Pack),amzn,Jill,Amazon,Automotive,,1.0
2025-03-18,26.16,FreshMint Ultrasonic Rechargeable Electric Toothbrush,amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-18,22.50,EverBloom Collapsible Garden Hose - 50ft Durable Lightweight Watering Hose with 8-Function Nozzle,amzn,Jill,Amazon,Home,,1.0
2025-03-18,11.51,"Scotch Magic Tape with Scotch Desktop Dispenser, 6 Rolls",amzn,Jill,Amazon,Office Supplies,,1.0
2025-03-18,49.77,"Philips Norelco Multi-Grooming All-in-One Trimmer Kit for Beard, Hair & Body, Rechargeable",amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-18,24.30,Pet Wellness Annual Flea & Tick Prevention Kit for Dogs and Cats,amzn,Jill,Amazon,Pet Supplies,,1.0
2025-03-18,9.75,"Kitsure Shoe Rack - Non-Woven Shoe Rack Shelf, Shoe Organizer for Closet",amzn,Jill,Amazon,Home,,1.0
2025-03-18,15.64,PawsPro Heavy-Duty Dog Leash with Reflective Stitching and Padded Handle,amzn,Jill,Amazon,Pet Supplies,,1.0
2025-03-18,7.25,ProGrip Non-Slip Athletic Socks for Men,amzn,Jill,Amazon,Clothing & Accessories,,1.0
2025-03-18,19.24,"Universal Car Cabin Air Filter Replacement Kit, Annual Maintenance, Fits Most Vehicles",amzn,Jill,Amazon,Automotive,,1.0
2025-03-18,9.81,"Unisex Classic Cotton Crew Socks, 6-Pack",amzn,Jill,Amazon,Clothing & Accessories,,1.0
2025-03-18,15.92,"Anker USB-C to USB-A Fast Charging Cable (6ft, Braided)",amzn,Jill,Amazon,Electronics & Accessories,,1.0
2025-03-26,9.69,IronGrip Non-Slip Weight Lifting Gloves for Men,amzn,Jill,Amazon,Gym & Fitness,,1.0
2025-03-26,43.54,Premium Digital Bathroom Scale with Extra-Large Backlit Display and Step-On Technology,amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-26,18.71,"Premium Windshield Wiper Blade Replacement Set, Universal Fit for Cars & SUVs",amzn,Jill,Amazon,Automotive,,1.0
2025-03-26,27.46,"Baby Sling Carrier, Baby Carrier Newborn to Toddler(7-45lbs)",amzn,Jill,Amazon,Baby & Child,,1.0
2025-03-26,15.78,Unisex Classic Cotton Baseball Cap Adjustable Hat,amzn,Jill,Amazon,Clothing & Accessories,,1.0
2025-03-26,16.69,"NOVA Chic Wireless Mouse for Laptops – Ergonomic, Silent Click, Rose Gold",amzn,Jill,Amazon,Electronics & Accessories,,1.0
2025-03-26,13.82,SoftTouch Baby Hair Brush and Comb Set for Girls,amzn,Jill,Amazon,Baby & Child,,1.0
2025-03-26,14.28,"Premium Microfiber Cleaning Cloths, 12-Pack for Home & Kitchen",amzn,Jill,Amazon,Home,,1.0
2025-03-26,7.53,"CleanShave Daily Disposable Razors for Men, 6-Pack",amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-28,28.04,"Elite Brew Insulated French Press Coffee Maker, 34oz Stainless Steel",amzn,Jill,Amazon,Home,,1.0
2025-03-28,21.40,Floral Design Weekly Planner Notebook – 2024 Spiral Hardcover Undated Organizer for Women,amzn,Jill,Amazon,Office Supplies,,1.0
2025-03-29,15.88,Adjustable Heavy Duty Garden Hose Nozzle with Multiple Spray Patterns,amzn,Jill,Amazon,Home,,1.0
2025-03-29,72.95,AutoClear Pro Digital Tire Inflator with LED Gauge and Rapid Fill Technology,amzn,Jill,Amazon,Automotive,,1.0
2025-03-29,15.40,SilkEase Reusable Facial Cleansing Pads – Soft Makeup Remover Pads for Sensitive Skin (Pack of 10),amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-29,12.35,Baby's First Tooth Keepsake Box – Gender Neutral Memory Storage for Lost Teeth,amzn,Jill,Amazon,Baby & Child,,1.0
2025-03-29,9.29,Premium Windshield Washer Fluid Tablets (4-Pack) – All-Season Glass Cleaner for Cars,amzn,Jill,Amazon,Automotive,,1.0
2025-03-29,9.23,"Men's Aloe Vera Moisturizing Shave Gel, 7oz",amzn,Jill,Amazon,Health & Personal Care,,1.0
2025-03-29,15.03,DinoQuest Monthly Growth Chart Stickers for Boys,amzn,Jill,Amazon,Baby & Child,,1.0
